City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Auki,-8.77,160.7,81.99,88.09,69,1009,3.42,52
Tezu,27.92,96.17,60.42,54.99,33,1020,3.09,0
Fukuechō,32.69,128.84,51.24,39.02,63,1025,17.45,100
Deputatsky,69.3,139.9,-29.99,-40.07,84,1028,5.41,10
Strathpeffer,57.59,-4.54,33.57,29.41,95,1033,1.12,75
Balyqshy,47.07,51.87,10.4,-2.06,72,1041,11.18,0
Henties Bay,-22.12,14.28,68.0,69.28,89,1013,6.82,27
Aktau,43.65,51.2,19.4,6.08,67,1037,13.42,0
Okhotsk,59.38,143.3,-8.5,-22.29,85,1016,12.59,58
Chincha Alta,-13.41,-76.13,76.39,72.7,65,1011,14.99,40
Karasburg,-28.02,18.75,70.27,69.89,85,1010,10.47,54
Tygda,53.12,126.33,-24.48,-33.61,84,1029,3.83,29
Ryōtsu-minato,38.08,138.43,36.5,30.65,89,1024,4.47,100
Walvis Bay,-22.96,14.51,68.0,66.99,82,1013,9.17,98
Kahului,20.89,-156.47,76.3,74.55,51,1021,6.91,20
Yangi Marg`ilon,40.43,71.72,23.0,16.66,85,1031,2.24,90
Isiro,2.77,27.62,71.01,74.35,71,1009,0.63,97
Crotone,39.09,17.12,44.01,36.59,74,1014,8.01,0
Vallenar,-28.57,-70.76,80.13,74.77,35,1013,9.66,0
Acajutla,13.59,-89.83,86.0,87.24,48,1016,6.42,20
Inhambane,-23.86,35.38,77.11,82.26,82,1011,5.48,12
Velika Gorica,45.71,16.08,41.43,37.24,93,1011,3.36,90
Río Cuarto,-33.13,-64.35,83.21,83.07,45,1007,5.82,40
Mauriti,-7.39,-38.77,82.33,82.94,41,1008,2.37,59
Gogrial,8.53,28.1,76.57,70.97,24,1008,5.03,0
Elko,41.0,-115.5,36.86,30.27,74,1016,4.7,90
Avesta,60.15,16.17,28.0,22.6,95,1028,1.99,100
Mosquera,4.71,-74.23,66.2,57.96,52,1023,13.87,40
Dzaoudzi,-12.79,45.27,80.6,84.7,78,1010,9.17,0
Lira,2.23,32.91,72.57,68.74,41,1010,5.79,97
Chanthaburi,12.83,102.17,73.0,78.12,93,1011,5.26,52
Oyama,36.3,139.8,36.88,31.84,92,1021,3.36,75
Katangli,51.71,143.23,-9.58,-21.77,88,1018,9.73,100
Moba,33.23,105.02,24.08,17.17,98,1027,4.05,99
Puerto del Rosario,28.5,-13.86,64.4,63.63,68,1013,3.36,20
Kāman,27.65,77.27,61.88,60.73,80,1014,5.17,100
Moerai,-22.43,-151.33,80.02,77.83,79,1017,20.18,1
Gastello,49.12,142.97,-7.11,-15.3,85,1018,2.71,37
Roblin,51.23,-101.36,21.74,12.49,97,1010,7.72,0
Lavrentiya,65.58,-171.0,-9.45,-22.29,88,999,10.89,29
Faya,18.39,42.45,56.3,55.74,93,1024,3.36,0
Westport,41.14,-73.36,40.53,33.12,32,1013,3.27,73
Nyurba,63.28,118.33,-34.67,-45.0,82,1035,5.77,91
Say,13.1,2.37,86.0,81.81,17,1010,2.24,0
Charters Towers,-20.1,146.27,73.2,73.22,95,1007,15.08,100
São João da Barra,-21.64,-41.05,80.6,84.7,78,1012,9.17,75
Boundiali,9.52,-6.49,80.74,77.85,25,1009,1.77,1
Langsa,4.47,97.97,73.38,80.51,93,1009,2.01,39
Camaná,-16.62,-72.71,73.94,73.92,67,1012,7.4,3
Nouakchott,18.09,-15.98,73.4,67.17,49,1013,12.75,1
Makkah al Mukarramah,21.43,39.83,74.46,76.69,73,1014,5.59,0
Dakar,14.69,-17.44,73.4,76.53,78,1011,4.7,0
Challapata,-18.9,-66.77,64.44,52.97,25,1003,13.0,0
Port Augusta,-32.5,137.77,59.47,49.86,77,1015,18.34,40
Naples,40.83,14.25,42.98,39.38,87,1012,2.24,0
Yanta,36.24,115.67,23.76,12.76,82,1036,10.49,27
Effingham County,32.37,-81.33,60.12,54.68,48,1016,5.82,20
Margate,51.38,1.39,39.43,32.56,76,1012,5.99,100
Dosso,13.05,3.19,78.69,71.11,17,1009,6.67,0
Atmakūr,15.88,78.58,64.29,66.45,90,1012,2.84,70
Nome,64.5,-165.41,-5.8,-19.03,58,990,11.41,20
Piaçabuçu,-10.41,-36.43,78.93,79.99,77,1012,12.66,4
Mananjary,-21.22,48.33,75.33,79.86,87,1013,6.58,26
Morón,-34.65,-58.62,82.63,82.31,48,1020,7.0,96
Soyo,-6.13,12.37,78.8,84.42,87,1010,7.99,100
Zyryanovsk,49.74,84.27,-22.2,-29.42,79,1056,0.45,0
Toktogul,41.87,72.94,26.29,20.19,60,1032,1.1,0
Tineo,43.34,-6.41,38.16,30.4,86,1013,8.05,40
Santa Maria,-29.68,-53.81,89.6,89.55,46,1006,10.29,40
Greeneville,36.16,-82.83,46.54,38.57,49,1016,6.93,1
Tulagi,-9.1,160.15,78.8,86.86,83,1009,2.24,20
Kununurra,-15.77,128.73,77.0,85.55,94,1005,3.36,90
Verkhnyaya Inta,65.98,60.31,-2.99,-10.66,91,1044,2.1,96
Innisfail,-17.53,146.03,69.01,75.15,97,1010,1.01,100
Southbridge,42.08,-72.03,36.72,30.07,61,1013,3.76,19
Methóni,36.82,21.7,48.45,47.01,93,1014,1.12,39
São Filipe,14.9,-24.5,75.99,79.45,76,1013,5.57,95
Poum,-20.23,164.02,81.54,90.99,78,1008,0.58,100
Pangody,65.85,74.49,-18.63,-31.32,88,1051,10.29,100
Ayan,56.45,138.17,-17.3,-32.49,75,1024,14.7,56
Aksarka,66.56,67.8,-19.14,-33.72,87,1047,13.65,55
Kekri,25.97,75.15,60.67,60.22,82,1012,3.65,21
Fuyu,45.18,124.82,-15.72,-25.1,81,1032,4.45,4
Ajdabiya,30.76,20.23,57.0,51.8,69,1019,7.99,30
Abay,49.63,72.85,-7.6,-23.22,63,1042,15.66,0
Zvishavane,-20.33,30.07,69.69,72.0,81,1013,4.25,7
Departamento de Maldonado,-34.67,-54.92,79.68,76.1,65,1007,17.22,75
Valparaíso,-33.04,-71.63,69.58,64.38,49,1014,9.17,0
Vestmannaeyjar,63.44,-20.27,41.9,30.61,69,1026,13.82,100
Neuquén,-38.95,-68.06,78.8,71.94,34,1015,11.41,0
Mubi,10.27,13.26,74.01,68.09,21,1008,4.05,0
Porto Seguro,-16.45,-39.06,80.6,81.84,74,1013,12.75,40
Dali,25.7,100.18,44.37,38.8,72,1018,4.63,100
Mayo,38.89,-76.51,43.83,38.84,75,1015,3.76,90
Maiduguri,11.85,13.16,75.83,67.95,20,1010,7.63,0
Tanout,14.97,8.89,75.76,66.45,18,1011,9.48,4
Knysna,-34.04,23.05,68.0,73.4,100,1010,2.24,95
Makakilo City,21.35,-158.09,77.7,80.33,65,1021,4.7,1
Sigayevo,56.42,53.78,19.0,12.65,93,1038,1.99,99
Kamaishi,39.27,141.88,27.07,18.97,88,1024,6.22,90
Calvinia,-31.47,19.78,72.16,73.78,68,1009,3.6,82
Gold Coast,-28.0,153.43,77.7,79.99,73,1009,8.05,12
Rājbirāj,26.53,86.75,62.89,61.61,62,1015,2.26,35
Ilulissat,69.22,-51.1,21.2,4.26,53,1008,19.46,75
São Gabriel da Cachoeira,-0.13,-67.09,82.74,91.22,77,1005,3.09,100
Lynchburg,37.41,-79.14,44.08,36.63,52,1015,5.82,90
Beruwala,6.48,79.98,76.28,83.59,87,1007,2.55,38
Tsumeb,-19.23,17.72,74.44,78.35,71,1009,1.99,100
Alekseyevka,50.63,38.69,29.44,18.27,97,1031,12.68,100
Hudson,40.72,-74.07,40.91,29.98,67,1015,12.75,90
Altay,47.87,88.12,-9.63,-17.72,55,1053,2.13,0
Kearney,40.7,-99.08,45.34,36.54,48,1019,8.05,1
Naliya,23.27,68.83,61.48,54.05,51,1014,10.4,0
Vardø,70.37,31.11,28.4,9.21,92,1027,26.4,40
Bandarbeyla,9.49,50.81,73.33,67.62,70,1014,17.96,8
Thenzawl,23.32,92.75,52.83,49.93,72,1015,2.68,87
Praia da Vitória,38.73,-27.07,59.43,48.09,93,1007,24.29,75
Jiexiu,37.02,111.91,21.16,11.3,67,1039,7.49,0
Montrose,38.42,-108.27,38.5,32.68,51,1024,1.79,1
Clyde River,70.47,-68.59,-18.4,-36.29,75,1012,19.46,20
Mujiayingzi,42.12,118.78,-12.66,-23.84,78,1040,7.74,0
Otukpo,7.19,8.13,82.45,79.7,22,1007,0.85,0
Atar,20.52,-13.05,72.82,67.42,33,1014,6.35,99
Pahlgām,34.03,75.33,32.25,24.37,83,1025,6.62,100
Eureka,40.8,-124.16,49.28,41.92,93,1014,11.99,100
Batouri,4.43,14.37,74.44,73.76,45,1009,2.19,0
Mocuba,-16.84,36.99,72.72,78.39,89,1011,2.86,85
Sørland,67.67,12.69,41.7,24.82,88,1030,25.5,100
Corner Brook,48.97,-57.95,26.37,18.37,86,1022,5.82,90
Korla,41.76,86.15,12.22,5.76,84,1043,1.03,0
Harper,4.38,-7.72,79.02,84.97,81,1011,5.46,28
Newburgh,41.5,-74.01,36.3,30.16,86,1014,4.7,75
Fianarantsoa,-21.43,47.08,61.41,62.56,91,1014,2.98,90
Lumeje,-11.55,20.78,66.61,66.79,92,1013,8.48,98
Barcelos,41.54,-8.62,38.5,34.11,100,1013,3.36,20
Maceió,-9.67,-35.74,78.8,83.05,74,1013,5.82,75
Denison,33.76,-96.54,63.73,55.85,27,1020,6.93,5
Kungurtug,50.6,97.52,-20.15,-28.86,82,1057,3.18,100
Lhokseumawe,5.18,97.15,76.3,83.14,87,1009,3.38,70
Vengerovo,55.68,76.75,-20.94,-30.23,87,1063,4.21,83
Shizuishan,39.23,106.77,9.09,-2.0,68,1043,8.55,0
Pozo Colorado,-23.49,-58.8,78.66,81.12,70,1005,7.45,100
San Antonio,29.42,-98.49,74.26,67.95,28,1016,6.93,1
Aripuanã,-9.17,-60.63,80.11,89.67,84,1006,1.25,97
Bac Lieu,9.29,105.72,77.02,77.16,83,1009,14.61,100
Sōja,34.67,133.75,32.0,26.4,91,1026,3.02,100
Huilong,31.81,121.66,46.0,36.52,84,1027,13.4,95
Elk Plain,47.05,-122.4,44.96,39.25,100,1003,8.05,75
Whitianga,-36.83,175.7,70.3,70.97,68,1021,4.14,0
Richards Bay,-28.78,32.04,75.11,79.59,92,1012,8.03,93
Severodvinsk,64.56,39.83,15.8,7.77,92,1033,4.47,90
Algeciras,36.13,-5.45,50.0,45.72,66,1014,3.36,20
Ixtapa,20.7,-105.2,78.8,76.39,50,1014,9.17,20
Labuhan,-6.88,112.21,77.49,83.19,84,1006,5.53,100
Esna,25.29,32.55,59.0,53.98,54,1015,5.82,0
Rafrāf,37.19,10.18,44.6,39.38,65,1014,3.36,20
Studená,49.19,15.29,36.7,28.18,100,1009,10.11,100
Mazatlán,23.22,-106.42,77.05,70.2,26,1015,8.05,5
Cururupu,-1.83,-44.87,78.6,84.94,81,1008,4.41,9
Misratah,32.38,15.09,54.27,45.55,41,1020,8.88,0
Pochutla,15.74,-96.47,86.0,87.71,51,1012,6.93,20
Les Cayes,18.2,-73.75,81.25,84.2,55,1014,3.04,0
Mangan,27.52,88.53,60.21,53.89,32,1019,4.43,51
Narón,43.52,-8.15,37.51,32.61,93,1015,3.36,20
Saint George,37.1,-113.58,53.67,46.65,34,1020,4.7,1
Dudinka,69.41,86.18,-11.2,-28.05,83,1044,17.9,90
Medzilaborce,49.27,21.9,36.5,32.41,85,1011,1.01,100
Pokosnoye,55.53,101.05,-29.88,-39.3,84,1056,4.23,87
Caravelas,-17.71,-39.25,78.91,82.4,80,1013,9.4,98
Flinders,-34.58,150.86,69.73,72.64,88,1003,5.01,24
Sirte,31.21,16.59,56.1,50.65,48,1020,4.68,29
Krupanj,44.37,19.36,38.12,32.9,100,1009,4.7,40
Mount Isa,-20.73,139.5,78.8,83.68,74,1007,4.7,39
Singaraja,-8.11,115.09,79.68,86.74,77,1006,2.68,100
İmamoğlu,37.27,35.66,54.37,45.66,50,1020,10.29,0
Ubari,26.59,12.78,54.68,47.98,53,1017,7.25,30
Rehoboth,-23.32,17.08,71.53,67.1,57,1010,10.89,49
Kaoma,-14.78,24.8,65.1,67.86,94,1011,3.24,2
Champerico,14.3,-91.92,91.4,94.15,55,1012,11.41,40
Buraidah,26.33,43.98,59.0,55.49,100,1019,11.41,40
Conde,-7.26,-34.91,82.4,83.32,74,1012,14.99,40
Bumba,2.18,22.47,76.64,81.57,74,1008,2.82,100
